Day,Hour,Region,% of Total Trip Count,Trip Count,ID
1,8,CBD,4.00%,1366,10
1,8,Central,24.46%,8350,0
1,8,Central East,5.24%,1789,1
1,8,East,11.12%,3795,4
1,8,North,5.59%,1907,2
1,8,North East,2.35%,803,8
1,8,North West,2.71%,926,9
1,8,South,12.64%,4314,3
1,8,South East,11.95%,4078,7
1,8,South West,13.33%,4552,6
1,8,West,6.62%,2259,5
1,7,CBD,2.60%,706,10
1,7,Central,19.33%,5251,0
1,7,Central East,5.56%,1509,1
1,7,East,16.05%,4359,4
1,7,North,7.12%,1933,2
1,7,North East,3.27%,889,8
1,7,North West,3.76%,1020,9
1,7,South,11.04%,2998,3
1,7,South East,11.63%,3159,7
1,7,South West,11.33%,3076,6
1,7,West,8.32%,2260,5
1,6,CBD,1.81%,331,10
1,6,Central,18.35%,3355,0
1,6,Central East,4.86%,889,1
1,6,East,21.23%,3883,4
1,6,North,6.39%,1168,2
1,6,North East,3.75%,686,8
1,6,North West,4.16%,760,9
1,6,South,8.80%,1610,3
1,6,South East,12.17%,2226,7
1,6,South West,10.99%,2009,6
1,6,West,7.50%,1371,5
1,5,CBD,1.43%,127,10
1,5,Central,18.25%,1623,0
1,5,Central East,4.68%,416,1
1,5,East,28.05%,2495,4
1,5,North,5.49%,488,2
1,5,North East,3.81%,339,8
1,5,North West,4.01%,357,9
1,5,South,8.54%,760,3
1,5,South East,11.50%,1023,7
1,5,South West,8.66%,770,6
1,5,West,5.59%,497,5
1,4,CBD,0.93%,66,10
1,4,Central,21.97%,1567,0
1,4,Central East,5.13%,366,1
1,4,East,19.54%,1394,4
1,4,North,6.77%,483,2
1,4,North East,4.42%,315,8
1,4,North West,5.48%,391,9
1,4,South,7.43%,530,3
1,4,South East,15.87%,1132,7
1,4,South West,7.68%,548,6
1,4,West,4.78%,341,5
1,3,CBD,0.87%,65,10
1,3,Central,26.35%,1959,0
1,3,Central East,5.55%,413,1
1,3,East,12.60%,937,4
1,3,North,6.39%,475,2
1,3,North East,5.61%,417,8
