Day,Hour,Region,% of Total Sum of Trip Count,Sum of Trip Count,ID,,
5,2,West,0.0348932,214,5,,
1,3,CBD,0.0186954,139,10,,
1,3,Central,0.4259583,3167,0,,
1,3,Central East,0.0317418,236,1,,
1,3,East,0.0711500,529,4,,
1,3,North,0.0381977,284,2,,
1,3,North East,0.0263618,196,8,,
1,3,North West,0.0285138,212,9,,
1,3,South,0.1498319,1114,3,,
1,3,South East,0.1425689,1060,7,,
1,3,South West,0.0384667,286,6,,
1,3,West,0.0285138,212,5,,
2,3,CBD,0.0409271,279,10,,
2,3,Central,0.4245269,2894,0,,
2,3,Central East,0.0335925,229,1,,
2,3,East,0.0620508,423,4,,
2,3,North,0.0419539,286,2,,
2,3,North East,0.0297785,203,8,,
2,3,North West,0.0330057,225,9,,
2,3,South,0.1154467,787,3,,
2,3,South East,0.1469855,1002,7,,
2,3,South West,0.0426874,291,6,,
2,3,West,0.0290450,198,5,,
3,3,CBD,0.0253759,324,10,,
3,3,Central,0.4658521,5948,0,,
3,3,Central East,0.0302318,386,1,,
3,3,East,0.0523966,669,4,,
3,3,North,0.0299969,383,2,,
3,3,North East,0.0262375,335,8,,
3,3,North West,0.0219298,280,9,,
3,3,South,0.1593045,2034,3,,
3,3,South East,0.1314223,1678,7,,
3,3,South West,0.0368891,471,6,,
3,3,West,0.0203634,260,5,,
4,3,CBD,0.0255873,293,10,,
4,3,Central,0.4344599,4975,0,,
4,3,Central East,0.0371147,425,1,,
4,3,East,0.0524845,601,4,,
4,3,North,0.0303904,348,2,,
4,3,North East,0.0248887,285,8,,
4,3,North West,0.0228801,262,9,,
4,3,South,0.1715134,1964,3,,
4,3,South East,0.1417343,1623,7,,
4,3,South West,0.0329229,377,6,,
4,3,West,0.0260239,298,5,,
5,3,CBD,0.0114307,60,10,,
5,3,Central,0.3617832,1899,0,,
5,3,Central East,0.0352448,185,1,,
5,3,East,0.0943037,495,4,,
5,3,North,0.0592494,311,2,,
5,3,North East,0.0327681,172,8,,
5,3,North West,0.0360069,189,9,,
5,3,South,0.1112593,584,3,,
5,3,South East,0.1887979,991,7,,
5,3,South West,0.0401981,211,6,,
5,3,West,0.0289579,152,5,,
1,4,CBD,0.0110753,79,10,,
1,4,Central,0.2970700,2119,0,,
1,4,Central East,0.0423384,302,1,,
1,4,East,0.1010795,721,4,,
1,4,North,0.0654703,467,2,,
1,4,North East,0.0451423,322,8,,
1,4,North West,0.0511706,365,9,,
1,4,South,0.1594000,1137,3,,
1,4,South East,0.1396327,996,7,,
1,4,South West,0.0507500,362,6,,
1,4,West,0.0368709,263,5,,
2,4,CBD,0.0122669,75,10,,
2,4,Central,0.2837749,1735,0,,
2,4,Central East,0.0439974,269,1,,
2,4,East,0.1200523,734,4,,
2,4,North,0.0680406,416,2,,
2,4,North East,0.0454694,278,8,,
2,4,North West,0.0541380,331,9,,
2,4,South,0.1197252,732,3,,
2,4,South East,0.1506379,921,7,,
2,4,South West,0.0538109,329,6,,
2,4,West,0.0480864,294,5,,
3,4,CBD,0.0117953,118,10,,
3,4,Central,0.3728509,3730,0,,
3,4,Central East,0.0392843,393,1,,
3,4,East,0.0762695,763,4,,
3,4,North,0.0461815,462,2,,
3,4,North East,0.0343862,344,8,,
3,4,North West,0.0354858,355,9,,
3,4,South,0.1858257,1859,3,,
3,4,South East,0.1216513,1217,7,,
3,4,South West,0.0465814,466,6,,
3,4,West,0.0296881,297,5,,
4,4,CBD,0.0147773,149,10,,
4,4,Central,0.4003769,4037,0,,
4,4,Central East,0.0342160,345,1,,
4,4,East,0.0680353,686,4,,
4,4,North,0.0464148,468,2,,
4,4,North East,0.0328275,331,8,,
4,4,North West,0.0339185,342,9,,
4,4,South,0.1603689,1617,3,,
4,4,South East,0.1448974,1461,7,,
4,4,South West,0.0380839,384,6,,
4,4,West,0.0260835,263,5,,
5,4,CBD,0.0075147,41,10,,
5,4,Central,0.2538490,1385,0,,
5,4,Central East,0.0507698,277,1,,
5,4,East,0.1059384,578,4,,
5,4,North,0.0778959,425,2,,
5,4,North East,0.0520528,284,8,,
5,4,North West,0.0562683,307,9,,
5,4,South,0.1053886,575,3,,
5,4,South East,0.1671554,912,7,,
5,4,South West,0.0667155,364,6,,
5,4,West,0.0564516,308,5,,
1,5,CBD,0.0059584,53,10,,
1,5,Central,0.2405846,2140,0,,
1,5,Central East,0.0519393,462,1,,
1,5,East,0.1399663,1245,4,,
1,5,North,0.0773468,688,2,,
1,5,North East,0.0549747,489,8,,
1,5,North West,0.0634064,564,9,,
1,5,South,0.1071388,953,3,,
1,5,South East,0.1367060,1216,7,,
1,5,South West,0.0721754,642,6,,
1,5,West,0.0498033,443,5,,
2,5,CBD,0.0080170,64,10,,
2,5,Central,0.2331204,1861,0,,
2,5,Central East,0.0544908,435,1,,
2,5,East,0.1439309,1149,4,,
2,5,North,0.0851810,680,2,,
2,5,North East,0.0592509,473,8,,
2,5,North West,0.0714017,570,9,,
2,5,South,0.0908180,725,3,,
2,5,South East,0.1291494,1031,7,,
2,5,South West,0.0705249,563,6,,
2,5,West,0.0541150,432,5,,
3,5,CBD,0.0071138,70,10,,
3,5,Central,0.2899390,2853,0,,
3,5,Central East,0.0510163,502,1,,
3,5,East,0.1280488,1260,4,,
3,5,North,0.0668699,658,2,,
3,5,North East,0.0495935,488,8,,
3,5,North West,0.0538618,530,9,,
3,5,South,0.1268293,1248,3,,
3,5,South East,0.1279472,1259,7,,
3,5,South West,0.0583333,574,6,,
3,5,West,0.0404472,398,5,,
4,5,CBD,0.0089745,89,10,,
4,5,Central,0.2928305,2904,0,,
4,5,Central East,0.0464858,461,1,,
4,5,East,0.1219119,1209,4,,
4,5,North,0.0657457,652,2,,
4,5,North East,0.0505193,501,8,,
4,5,North West,0.0550570,546,9,,
4,5,South,0.1218110,1208,3,,
4,5,South East,0.1295755,1285,7,,
4,5,South West,0.0643340,638,6,,
4,5,West,0.0427549,424,5,,
5,5,CBD,0.0064943,54,10,,
5,5,Central,0.2087793,1736,0,,
5,5,Central East,0.0526759,438,1,,
5,5,East,0.1613951,1342,4,,
5,5,North,0.0856284,712,2,,
5,5,North East,0.0590499,491,8,,
5,5,North West,0.0727601,605,9,,
5,5,South,0.0845460,703,3,,
5,5,South East,0.1380637,1148,7,,
5,5,South West,0.0766085,637,6,,
5,5,West,0.0539988,449,5,,
1,6,CBD,0.0044838,82,10,,
1,6,Central,0.1794619,3282,0,,
1,6,Central East,0.0567038,1037,1,,
1,6,East,0.1719160,3144,4,,
1,6,North,0.0883093,1615,2,,
1,6,North East,0.0740376,1354,8,,
1,6,North West,0.0750766,1373,9,,
1,6,South,0.0681868,1247,3,,
1,6,South East,0.1387795,2538,7,,
1,6,South West,0.0845910,1547,6,,
1,6,West,0.0584536,1069,5,,
2,6,CBD,0.0062031,91,10,,
2,6,Central,0.1813224,2660,0,,
2,6,Central East,0.0514656,755,1,,
2,6,East,0.1755283,2575,4,,
2,6,North,0.0892297,1309,2,,
2,6,North East,0.0717791,1053,8,,
2,6,North West,0.0775051,1137,9,,
2,6,South,0.0715065,1049,3,,
2,6,South East,0.1336742,1961,7,,
2,6,South West,0.0837082,1228,6,,
2,6,West,0.0580777,852,5,,
3,6,CBD,0.0074764,98,10,,
3,6,Central,0.1964449,2575,0,,
3,6,Central East,0.0524870,688,1,,
3,6,East,0.1890449,2478,4,,
3,6,North,0.0812481,1065,2,,
3,6,North East,0.0662191,868,8,,
3,6,North West,0.0678212,889,9,,
3,6,South,0.0805615,1056,3,,
3,6,South East,0.1322093,1733,7,,
3,6,South West,0.0750687,984,6,,
3,6,West,0.0514190,674,5,,
4,6,CBD,0.0069520,83,10,,
4,6,Central,0.2119105,2530,0,,
4,6,Central East,0.0533546,637,1,,
4,6,East,0.1739677,2077,4,,
4,6,North,0.0706089,843,2,,
4,6,North East,0.0622330,743,8,,
4,6,North West,0.0629031,751,9,,
4,6,South,0.0835916,998,3,,
4,6,South East,0.1438144,1717,7,,
4,6,South West,0.0790686,944,6,,
4,6,West,0.0515956,616,5,,
5,6,CBD,0.0046497,72,10,,
5,6,Central,0.1718437,2661,0,,
